host_id,host_name,host_location,host_is_superhost,host_response_rate,host_listings_count,host_thumbnail_url
689661,Allison,"New York, New York, United States",FALSE,NA,1,https://a0.muscache.com/im/users/689661/profile_pic/1344728808/original.jpg?aki_policy=profile_small
128480,Sam And Britt,"Brooklyn, New York, United States",TRUE,100,1,https://a0.muscache.com/im/pictures/8c3a2775-4f14-4186-b3b9-fcd33e1a5793.jpg?aki_policy=profile_small
75480489,Ramazan,"New York, New York, United States",TRUE,100,1,https://a0.muscache.com/im/pictures/2d9ff474-b60d-4de4-bab8-215601324916.jpg?aki_policy=profile_small
86388425,Susanne,"Kailua, Hawaii, United States",FALSE,100,4,https://a0.muscache.com/im/pictures/a82f0bea-2be5-40ba-8369-453ad4101ef8.jpg?aki_policy=profile_small
461695,Krythia,"Mosman, New South Wales, Australia",FALSE,100,2,https://a0.muscache.com/im/pictures/user/b2662d3d-4a59-412e-ad26-d86c2fd20c7a.jpg?aki_policy=profile_small
9110746,Todd,"Hawaii, United States",TRUE,100,2,https://a0.muscache.com/im/pictures/626ec274-382b-4b16-8938-edd37ddfbfc1.jpg?aki_policy=profile_small
56931251,Esther,"Millbrae, California, United States",FALSE,100,1,https://a0.muscache.com/im/pictures/1026495a-5808-41e8-9adb-85346106b932.jpg?aki_policy=profile_small
3605061,Carlota And Jessica,"New York, New York, United States",TRUE,100,1,https://a0.muscache.com/im/pictures/user/fc0b32e0-0353-4a7e-baf3-7e2f9c71eca3.jpg?aki_policy=profile_small
72709530,Frederico,PT,FALSE,NA,3,https://a0.muscache.com/im/pictures/679b607b-740d-4e63-a5f1-e877d4f61c8d.jpg?aki_policy=profile_small
20132009,Karen,"New York, New York, United States",TRUE,100,4,https://a0.muscache.com/im/users/20132009/profile_pic/1439930311/original.jpg?aki_policy=profile_small
2872199,Jonathan,"Montreal, Quebec, Canada",FALSE,100,1,https://a0.muscache.com/im/users/2872199/profile_pic/1415930099/original.jpg?aki_policy=profile_small
26482762,ResortShare1,"Irvine, California, United States",FALSE,99,106,https://a0.muscache.com/im/pictures/59aa137a-3773-4a76-a2b2-e141d0596732.jpg?aki_policy=profile_small
55948,Heidi,"Sydney, New South Wales, Australia",FALSE,100,2,https://a0.muscache.com/im/users/55948/profile_pic/1327370146/original.jpg?aki_policy=profile_small
84983912,"Whalers Investment Group,",US,FALSE,100,33,https://a0.muscache.com/im/pictures/user/a3aa8174-895f-473a-bb91-4ec3a8f5bb28.jpg?aki_policy=profile_small
86456569,Mark,"Honolulu, Hawaii, United States",FALSE,100,16,https://a0.muscache.com/im/pictures/user/2dc0099e-2c51-4227-9b91-be28f954b4c3.jpg?aki_policy=profile_small
86774803,Andrea,"Rio de Janeiro, State of Rio de Janeiro, Brazil",FALSE,NA,1,https://a0.muscache.com/im/pictures/da8f073c-95f2-47ec-b0f3-b400fe93a380.jpg?aki_policy=profile_small
10806140,Samuel,"Bordeaux, Nouvelle-Aquitaine, France",FALSE,NA,1,https://a0.muscache.com/im/users/10806140/profile_pic/1407041532/original.jpg?aki_policy=profile_small
74989692,Beatrice,"Montreal, Québec, Canada",FALSE,NA,1,https://a0.muscache.com/im/pictures/c5d9fe18-49cc-4e48-9d78-5ba74c9c5099.jpg?aki_policy=profile_small
7676117,Mayra,"Rio de Janeiro, State of Rio de Janeiro, Brazil",FALSE,90,3,https://a0.muscache.com/im/users/7676117/profile_pic/1374608429/original.jpg?aki_policy=profile_small
28136352,Thomas,"Hawaii, United States",TRUE,100,10,https://a0.muscache.com/im/users/28136352/profile_pic/1433404051/original.jpg?aki_policy=profile_small
792365,Eytan,"New York, New York, United States",FALSE,100,1,https://a0.muscache.com/im/users/792365/profile_pic/1396275035/original.jpg?aki_policy=profile_small
87178525,Stanton,"Honolulu, Hawaii, United States",TRUE,100,1,https://a0.muscache.com/im/pictures/d0f6e29b-7653-44a8-9cd5-4fdd76313bb5.jpg?aki_policy=profile_small
13575910,Yohan And,"Lisieux, Normandy, France",FALSE,NA,1,https://a0.muscache.com/im/pictures/user/688de4c3-bd2c-45b3-a204-2df49cfc0394.jpg?aki_policy=profile_small
87288467,Aytac,"Istanbul, İstanbul, Turkey",FALSE,70,2,https://a0.muscache.com/im/pictures/9f3d38c6-3520-418e-bdc6-f17cb40dec03.jpg?aki_policy=profile_small
81990306,Carlos Alberto,"Rio de Janeiro, State of Rio de Janeiro, Brazil",FALSE,44,1,https://a0.muscache.com/im/pictures/a0ceb560-009b-4149-99a2-44351506fa67.jpg?aki_policy=profile_small
11635058,Kristine,"Hawaii, United States",FALSE,100,2,https://a0.muscache.com/im/users/11635058/profile_pic/1442348686/original.jpg?aki_policy=profile_small
8108526,Emily Rose,"New York, New York, United States",FALSE,NA,1,https://a0.muscache.com/im/pictures/c6607988-215f-4657-a9c4-a363025a83b6.jpg?aki_policy=profile_small
87534112,Bobby,US,FALSE,NA,1,https://a0.muscache.com/im/pictures/6cd80f04-f2da-4761-9b7d-d9483443557e.jpg?aki_policy=profile_small
6192063,Nahuel,"Barcelona, Catalonia, Spain",FALSE,100,1,https://a0.muscache.com/im/pictures/user/3427988b-d498-4bb8-92e7-c8f0d3c49ac5.jpg?aki_policy=profile_small
688387,Sabrina,"Montreal, Québec, Canada",FALSE,100,1,https://a0.muscache.com/im/users/688387/profile_pic/1307765003/original.jpg?aki_policy=profile_small
15907158,Maria,"Maricá, Rio de Janeiro, Brazil",FALSE,NA,4,https://a0.muscache.com/im/pictures/0a2382f9-29fe-4d8f-804e-7283a94198c9.jpg?aki_policy=profile_small
87705559,Guilherme,"New South Wales, Australia",FALSE,33,1,https://a0.muscache.com/im/pictures/e7abbed5-43be-49df-97ea-98693fae49eb.jpg?aki_policy=profile_small
87729694,Manuela,"Porto, Porto District, Portugal",FALSE,100,1,https://a0.muscache.com/im/pictures/36c877d6-aa92-4ed2-9340-fe096d6b3efe.jpg?aki_policy=profile_small
87676074,Murat,"Istanbul, İstanbul, Turkey",FALSE,90,7,https://a0.muscache.com/im/pictures/user/35b023a0-6c1c-46d8-aa0a-5622bee14ace.jpg?aki_policy=profile_small
12537115,Lucy,"Bondi Beach, New South Wales, Australia",FALSE,100,4,https://a0.muscache.com/im/users/12537115/profile_pic/1399923890/original.jpg?aki_policy=profile_small
7300494,Ayhan,Turkey,FALSE,56,4,https://a0.muscache.com/im/pictures/1a6fd436-c236-4620-b169-03ac2e655d89.jpg?aki_policy=profile_small
7720702,Jose,"Porto, Porto District, Portugal",TRUE,100,2,https://a0.muscache.com/im/pictures/f5731e48-2808-4a93-9244-39f27b2f3987.jpg?aki_policy=profile_small
75506967,Mimie,"New York, New York, United States",FALSE,100,3,https://a0.muscache.com/im/pictures/98a3f9eb-c010-497e-88f7-ff50fd2596f7.jpg?aki_policy=profile_small
88341137,Sinan,"Istanbul, İstanbul, Turkey",FALSE,100,1,https://a0.muscache.com/im/pictures/e4852cef-09de-4582-8971-2d5d0fbe6790.jpg?aki_policy=profile_small
20302754,Ruben,"New York, New York, United States",TRUE,83,2,https://a0.muscache.com/im/pictures/f9f9be4a-7a20-48fb-b750-60cd8ae73851.jpg?aki_policy=profile_small
70143192,Jason,"Montreal, Quebec, Canada",FALSE,100,1,https://a0.muscache.com/im/pictures/44522772-f05a-486e-aa21-8f99da321417.jpg?aki_policy=profile_small
55036781,Larry,"Honolulu, Hawaii, United States",TRUE,100,10,https://a0.muscache.com/im/pictures/user/79b6e22c-38a7-4325-94eb-8da6aa71ac00.jpg?aki_policy=profile_small
